ticket,symbol,timeframe,direction,entry_price,sl,tp,lot,source,atr,entry_time,exit_time,exit_price,result,pnl,pips
2797067150,XAUUSD,,BUY,4613.623,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:48,,,OPEN,,
2797067156,XAUUSD,,BUY,4613.623,4598.6051,4638.722,0.01,TraderAI-Bot,0.0,2026-03-20 01:58:48,,,OPEN,,
2797102625,XAUUSD,,BUY,4643.251,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:12,,,OPEN,,
2797102633,XAUUSD,,BUY,4643.251,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:12,,,OPEN,,
2797102642,XAUUSD,,BUY,4643.251,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:12,,,OPEN,,
2797102652,XAUUSD,,BUY,4643.251,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:12,,,OPEN,,
2797102665,XAUUSD,,BUY,4643.472,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:12,,,OPEN,,
2797102678,XAUUSD,,BUY,4643.548,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:12,,,OPEN,,
2797102687,XAUUSD,,BUY,4643.476,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:12,,,OPEN,,
2797102697,XAUUSD,,BUY,4643.909,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:13,,,OPEN,,
2797102708,XAUUSD,,BUY,4644.047,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:13,,,OPEN,,
2797102720,XAUUSD,,BUY,4644.045,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:13,,,OPEN,,
2797102730,XAUUSD,,BUY,4643.964,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:13,,,OPEN,,
2797102736,XAUUSD,,BUY,4643.964,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:13,,,OPEN,,
2797102751,XAUUSD,,BUY,4644.043,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:13,,,OPEN,,
2797102771,XAUUSD,,BUY,4644.279,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:13,,,OPEN,,
2797102794,XAUUSD,,BUY,4644.43,4624.40365,4665.76047,0.01,TraderAI-Bot,0.0,2026-03-20 02:02:14,,,OPEN,,
2797454372,XAUUSD,,SELL,4634.386,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:56,,,OPEN,,
2797454382,XAUUSD,,SELL,4634.468,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:56,,,OPEN,,
2797454405,XAUUSD,,SELL,4634.283,4653.24406,4600.943,0.01,TraderAI-Bot,0.0,2026-03-20 02:45:57,,,OPEN,,
