time,open,high,low,close,candle,body,wick_up,wick_down,pattern,rsi,ema20,ema50,macd,histogram,adx,atr,signal,score,sl,tp,tick_dir,tick_bull%,ob_bias,ob_imbal,rt_bias,rt_score,spread,logged_at
2026-03-31 09:35:00,4557.267,4558.729,4553.433,4555.767,BEARISH,1.5,1.462,2.334,Spinning Top,35.81,4564.77996,4563.6696,-0.4584,-1.76302,47.06,5.98815,WAIT,-15.28,,,NEUTRAL,45.5,NEUTRAL,0.0,NEUTRAL,-0.065,0.308,2026-03-31 16:40:00
2026-03-31 09:40:00,4551.09,4554.636,4550.101,4554.495,BULLISH,3.405,0.141,0.989,,37.38,4563.40329,4563.13615,-1.48304,-2.1713,52.23,6.0611,WAIT,-17.68,,,BUY,59.2,NEUTRAL,0.0,NEUTRAL,0.135,0.308,2026-03-31 16:44:07
2026-03-31 09:45:00,4555.604,4559.051,4555.31,4558.727,BULLISH,3.123,0.324,0.294,,43.84,4563.05202,4563.00439,-1.57601,-1.82535,56.42,5.87112,WAIT,-15.33,,,NEUTRAL,52.6,NEUTRAL,0.0,NEUTRAL,0.04,0.308,2026-03-31 16:49:33
2026-03-31 09:50:00,4558.662,4562.558,4556.815,4558.432,BEARISH,0.23,3.896,1.617,Doji,43.46,4562.59875,4562.81928,-1.73215,-1.58323,54.86,5.87184,WAIT,-11.72,,,NEUTRAL,47.6,NEUTRAL,0.0,NEUTRAL,-0.035,0.308,2026-03-31 16:54:54
2026-03-31 09:55:00,4556.706,4556.731,4551.598,4555.432,BEARISH,1.274,0.025,3.834,Hanging Man,40.15,4561.74499,4562.45471,-2.18682,-1.60496,55.42,5.82336,WAIT,-15.38,,,NEUTRAL,54.0,NEUTRAL,0.0,NEUTRAL,0.06,0.308,2026-03-31 17:00:19
2026-03-31 10:00:00,4555.352,4559.584,4555.03,4559.014,BULLISH,3.662,0.57,0.322,Bullish Engulfing,45.73,4561.48326,4562.31907,-2.10936,-1.22176,55.9,5.65411,WAIT,-10.23,,,BUY,60.1,NEUTRAL,0.0,NEUTRAL,0.15,0.308,2026-03-31 17:04:32
2026-03-31 10:05:00,4560.08,4561.197,4558.67,4560.457,BULLISH,0.377,0.74,1.41,Spinning Top,47.73,4561.48254,4562.28847,-1.83898,-0.77548,48.72,5.34798,WAIT,-14.2,,,NEUTRAL,52.9,NEUTRAL,0.0,NEUTRAL,0.045,0.28,2026-03-31 17:09:44
2026-03-31 10:10:00,4560.599,4561.772,4556.637,4557.091,BEARISH,3.508,1.173,0.454,Bearish Engulfing,43.45,4561.05431,4562.08028,-1.95223,-0.70949,47.16,5.31958,WAIT,-11.22,,,NEUTRAL,45.3,NEUTRAL,0.0,NEUTRAL,-0.07,0.308,2026-03-31 17:15:22
2026-03-31 10:15:00,4557.111,4558.464,4555.673,4558.244,BULLISH,1.133,0.22,1.438,,45.27,4560.78356,4561.92848,-1.92169,-0.54271,46.33,4.98244,WAIT,-4.48,,,NEUTRAL,54.9,NEUTRAL,0.0,NEUTRAL,0.075,0.308,2026-03-31 17:19:22
2026-03-31 10:20:00,4558.388,4560.517,4555.968,4560.08,BULLISH,1.692,0.437,2.42,,48.08,4560.73964,4561.86609,-1.71065,-0.26875,44.33,5.04725,WAIT,-9.93,,,NEUTRAL,46.7,NEUTRAL,0.0,NEUTRAL,-0.05,0.308,2026-03-31 17:24:47
