time,direction,entry,tp,sl,result,pnl_pts,pnl_usd,balance,prob,atr,adx
2026-03-24 10:40:00,SELL,4427.35,4419.35,4433.35,WIN,8.0,7.75,3670.0,0.5841,8.663,21.5
2026-03-24 10:55:00,SELL,4438.43,4430.43,4444.43,WIN,8.0,7.75,3677.75,0.5849,10.395,21.6
2026-03-24 11:05:00,SELL,4413.22,4405.22,4419.22,LOSS,-6.0,-6.25,3671.5,0.6101,18.095,28.7
2026-03-24 11:10:00,SELL,4419.39,4411.39,4425.39,WIN,8.0,7.75,3679.25,0.6126,17.717,30.5
2026-03-24 11:25:00,SELL,4413.06,4405.06,4419.06,LOSS,-6.0,-6.25,3673.0,0.6064,15.329,36.4
2026-03-24 11:30:00,SELL,4427.66,4419.66,4433.66,WIN,8.0,7.75,3680.75,0.6094,15.528,33.6
2026-03-24 11:35:00,SELL,4424.99,4416.99,4430.99,WIN,8.0,7.75,3688.5,0.6019,14.643,30.1
2026-03-24 11:40:00,SELL,4421.93,4413.93,4427.93,WIN,8.0,7.75,3696.25,0.5996,13.426,27.5
2026-03-24 11:45:00,SELL,4424.44,4416.44,4430.44,WIN,8.0,7.75,3704.0,0.6011,12.836,25.5
2026-03-24 11:50:00,SELL,4400.38,4392.38,4406.38,LOSS,-6.0,-6.25,3697.75,0.5742,15.666,28.9
2026-03-24 11:55:00,SELL,4407.62,4399.62,4413.62,LOSS,-6.0,-6.25,3691.5,0.5893,15.205,31.8
2026-03-24 12:00:00,SELL,4406.6,4398.6,4412.6,LOSS,-6.0,-6.25,3685.25,0.7227,14.886,31.3
2026-03-24 12:05:00,SELL,4412.18,4404.18,4418.18,LOSS,-6.0,-6.25,3679.0,0.747,14.011,30.9
2026-03-24 12:15:00,SELL,4424.9,4416.9,4430.9,WIN,8.0,7.75,3686.75,0.7463,13.429,24.6
2026-03-24 12:25:00,SELL,4402.5,4394.5,4408.5,WIN,8.0,7.75,3694.5,0.7101,14.944,25.7
2026-03-24 15:45:00,SELL,4429.02,4421.02,4435.02,WIN,8.0,7.75,3702.25,0.5738,12.672,35.3
2026-03-24 17:15:00,SELL,4399.81,4391.81,4405.81,WIN,8.0,7.75,3710.0,0.7154,11.169,27.3
2026-03-24 17:20:00,SELL,4401.14,4393.14,4407.14,WIN,8.0,7.75,3717.75,0.7209,10.725,27.7
2026-03-24 17:25:00,SELL,4400.0,4392.0,4406.0,WIN,8.0,7.75,3725.5,0.7174,10.246,27.9
2026-03-24 18:15:00,SELL,4397.95,4389.95,4403.95,LOSS,-6.0,-6.25,3719.25,0.6844,10.766,31.7
2026-03-24 18:20:00,SELL,4406.16,4398.16,4412.16,LOSS,-6.0,-6.25,3713.0,0.6994,10.586,30.1
2026-03-24 18:25:00,SELL,4407.46,4399.46,4413.46,LOSS,-6.0,-6.25,3706.75,0.7062,9.866,29.8
2026-03-24 18:30:00,SELL,4414.49,4406.49,4420.49,LOSS,-6.0,-6.25,3700.5,0.7036,10.755,32.8
2026-03-24 18:35:00,SELL,4419.83,4411.83,4425.83,WIN,8.0,7.75,3708.25,0.7108,10.544,35.5
2026-03-24 18:40:00,SELL,4400.07,4392.07,4406.07,WIN,8.0,7.75,3716.0,0.7029,12.571,31.5
2026-03-24 18:50:00,SELL,4399.67,4391.67,4405.67,WIN,8.0,7.75,3723.75,0.7078,11.545,26.7
2026-03-24 19:45:00,SELL,4399.85,4391.85,4405.85,LOSS,-6.0,-6.25,3717.5,0.5631,7.793,22.3
2026-03-24 19:50:00,SELL,4402.07,4394.07,4408.07,LOSS,-6.0,-6.25,3711.25,0.5616,7.828,22.1
2026-03-24 19:55:00,SELL,4400.16,4392.16,4406.16,LOSS,-6.0,-6.25,3705.0,0.5627,7.573,21.9
2026-03-25 12:00:00,SELL,4578.66,4570.66,4584.66,WIN,8.0,7.75,3712.75,0.6342,6.245,24.9
2026-03-25 12:05:00,SELL,4580.97,4572.97,4586.97,WIN,8.0,7.75,3720.5,0.6356,6.874,22.0
2026-03-25 12:15:00,SELL,4563.01,4555.01,4569.01,WIN,8.0,7.75,3728.25,0.6057,8.069,23.1
2026-03-25 20:00:00,SELL,4535.66,4527.66,4541.66,WIN,8.0,7.75,3736.0,0.6159,11.817,36.6
2026-03-25 20:10:00,SELL,4529.3,4521.3,4535.3,WIN,8.0,7.75,3743.75,0.6181,11.03,30.9
2026-03-25 20:15:00,SELL,4530.71,4522.71,4536.71,WIN,8.0,7.75,3751.5,0.6107,10.201,29.2
2026-03-25 20:20:00,SELL,4523.99,4515.99,4529.99,WIN,8.0,7.75,3759.25,0.5783,10.02,25.6
2026-03-26 08:10:00,SELL,4445.17,4437.17,4451.17,WIN,8.0,7.75,3767.0,0.5705,10.431,21.0
2026-03-26 08:15:00,SELL,4445.46,4437.46,4451.46,WIN,8.0,7.75,3774.75,0.5784,10.806,24.3
2026-03-26 08:30:00,SELL,4437.9,4429.9,4443.9,WIN,8.0,7.75,3782.5,0.5817,12.401,36.3
2026-03-26 08:50:00,SELL,4436.53,4428.53,4442.53,WIN,8.0,7.75,3790.25,0.5833,13.861,49.3
2026-03-26 09:05:00,SELL,4427.86,4419.86,4433.86,LOSS,-6.0,-6.25,3784.0,0.5726,13.79,48.1
2026-03-26 10:25:00,SELL,4441.94,4433.94,4447.94,WIN,8.0,7.75,3791.75,0.5775,9.989,38.2
2026-03-26 10:45:00,SELL,4441.14,4433.14,4447.14,LOSS,-6.0,-6.25,3785.5,0.6229,11.425,26.7
2026-03-26 10:50:00,SELL,4439.74,4431.74,4445.74,LOSS,-6.0,-6.25,3779.25,0.6425,11.225,25.5
2026-03-26 10:55:00,SELL,4443.28,4435.28,4449.28,LOSS,-6.0,-6.25,3773.0,0.6875,10.876,24.4
2026-03-26 11:05:00,SELL,4442.09,4434.09,4448.09,LOSS,-6.0,-6.25,3766.75,0.7351,9.907,23.8
2026-03-26 11:10:00,SELL,4441.92,4433.92,4447.92,LOSS,-6.0,-6.25,3760.5,0.7364,9.214,23.0
2026-03-26 11:15:00,SELL,4447.52,4439.52,4453.52,LOSS,-6.0,-6.25,3754.25,0.7512,9.281,23.5
2026-03-26 11:20:00,SELL,4447.71,4439.71,4453.71,WIN,8.0,7.75,3762.0,0.7514,9.488,26.6
2026-03-26 11:25:00,SELL,4443.39,4435.39,4449.39,LOSS,-6.0,-6.25,3755.75,0.7443,9.31,25.8
2026-03-26 11:30:00,SELL,4448.58,4440.58,4454.58,WIN,8.0,7.75,3763.5,0.7585,9.283,26.0
2026-03-26 11:35:00,SELL,4449.1,4441.1,4455.1,WIN,8.0,7.75,3771.25,0.7683,8.684,26.2
2026-03-26 11:40:00,SELL,4441.0,4433.0,4447.0,WIN,8.0,7.75,3779.0,0.745,9.399,23.2
2026-03-26 11:50:00,SELL,4427.25,4419.25,4433.25,WIN,8.0,7.75,3786.75,0.6636,10.092,25.8
2026-03-26 12:10:00,SELL,4442.09,4434.09,4448.09,WIN,8.0,7.75,3794.5,0.712,11.154,22.6
2026-03-26 12:15:00,SELL,4436.84,4428.84,4442.84,LOSS,-6.0,-6.25,3788.25,0.6872,11.173,20.2
2026-03-26 15:15:00,SELL,4455.55,4447.55,4461.55,WIN,8.0,7.75,3796.0,0.6567,13.618,21.2
2026-03-26 15:20:00,SELL,4453.54,4445.54,4459.54,WIN,8.0,7.75,3803.75,0.6589,12.907,23.3
2026-03-26 15:25:00,SELL,4454.47,4446.47,4460.47,WIN,8.0,7.75,3811.5,0.6548,12.242,24.5
2026-03-26 15:30:00,SELL,4442.64,4434.64,4448.64,WIN,8.0,7.75,3819.25,0.6141,12.755,28.7
2026-03-26 15:45:00,SELL,4443.57,4435.57,4449.57,WIN,8.0,7.75,3827.0,0.6101,10.996,37.1
2026-03-26 15:50:00,SELL,4445.37,4437.37,4451.37,WIN,8.0,7.75,3834.75,0.6242,10.127,37.8
2026-03-26 15:55:00,SELL,4438.12,4430.12,4444.12,WIN,8.0,7.75,3842.5,0.5719,10.37,40.8
2026-03-26 16:00:00,SELL,4436.9,4428.9,4442.9,WIN,8.0,7.75,3850.25,0.6979,10.707,44.6
2026-03-26 16:05:00,SELL,4439.68,4431.68,4445.68,WIN,8.0,7.75,3858.0,0.7079,10.318,45.5
2026-03-26 16:10:00,SELL,4440.06,4432.06,4446.06,WIN,8.0,7.75,3865.75,0.704,10.056,45.8
2026-03-26 20:10:00,SELL,4397.02,4389.02,4403.02,WIN,8.0,7.75,3873.5,0.6073,15.333,42.4
2026-03-26 20:15:00,SELL,4396.64,4388.64,4402.64,LOSS,-6.0,-6.25,3867.25,0.6596,16.509,42.4
2026-03-26 20:25:00,SELL,4404.38,4396.38,4410.38,LOSS,-6.0,-6.25,3861.0,0.7032,16.859,44.7
2026-03-26 20:30:00,SELL,4401.34,4393.34,4407.34,LOSS,-6.0,-6.25,3854.75,0.7098,15.888,46.0
2026-03-26 20:35:00,SELL,4420.06,4412.06,4426.06,WIN,8.0,7.75,3862.5,0.7211,16.871,47.5
2026-03-26 20:40:00,SELL,4406.05,4398.05,4412.05,WIN,8.0,7.75,3870.25,0.7269,16.589,48.8
2026-03-26 20:45:00,SELL,4401.85,4393.85,4407.85,WIN,8.0,7.75,3878.0,0.7243,15.97,47.3
2026-03-26 20:50:00,SELL,4375.89,4367.89,4381.89,LOSS,-6.0,-6.25,3871.75,0.6646,17.968,42.2
2026-03-26 20:55:00,SELL,4380.94,4372.94,4386.94,LOSS,-6.0,-6.25,3865.5,0.6796,16.649,37.8
2026-03-27 07:10:00,SELL,4454.82,4446.82,4460.82,WIN,8.0,7.75,3873.25,0.548,7.923,30.6
2026-03-27 07:15:00,SELL,4452.83,4444.83,4458.83,WIN,8.0,7.75,3881.0,0.5413,7.398,32.0
