<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.14	02:15:00	4194.056	4202.369	4192.212	4199.794	4499	0	160
2025.11.14	02:30:00	4199.725	4204.721	4199.271	4203.925	4846	0	160
2025.11.14	02:45:00	4203.888	4210.292	4202.700	4207.154	4344	0	160
2025.11.14	03:00:00	4207.190	4208.860	4203.308	4205.639	3832	0	160
2025.11.14	03:15:00	4205.682	4211.037	4204.574	4210.894	2771	0	160
2025.11.14	03:30:00	4210.801	4211.571	4206.867	4207.154	2374	0	160
2025.11.14	03:45:00	4207.219	4207.302	4201.385	4204.463	3057	0	160
2025.11.14	04:00:00	4204.400	4205.843	4198.357	4199.956	2571	0	160
2025.11.14	04:15:00	4199.986	4201.522	4196.878	4197.813	3009	0	160
2025.11.14	04:30:00	4197.764	4204.252	4197.184	4202.413	3165	0	160
2025.11.14	04:45:00	4202.375	4203.532	4199.896	4203.238	2086	0	160
2025.11.14	05:00:00	4203.239	4203.696	4189.018	4189.608	4033	0	160
2025.11.14	05:15:00	4189.582	4189.721	4184.122	4188.273	6099	0	160
2025.11.14	05:30:00	4188.317	4196.532	4185.640	4193.958	6142	0	160
2025.11.14	05:45:00	4193.953	4195.377	4187.938	4189.937	3693	0	160
2025.11.14	06:00:00	4189.833	4193.193	4186.228	4189.758	4186	0	160
2025.11.14	06:15:00	4189.838	4190.197	4173.565	4178.281	6284	0	160
2025.11.14	06:30:00	4178.239	4184.065	4176.308	4180.474	4097	0	160
2025.11.14	06:45:00	4180.368	4180.590	4169.242	4175.284	6606	0	160
2025.11.14	07:00:00	4175.237	4177.342	4169.433	4171.530	6732	0	160
2025.11.14	07:15:00	4171.581	4174.033	4158.836	4163.392	6300	0	160
2025.11.14	07:30:00	4163.418	4174.360	4162.809	4173.926	3829	0	160
2025.11.14	07:45:00	4173.952	4182.377	4173.135	4181.008	3695	0	160
2025.11.14	08:00:00	4180.973	4182.107	4173.078	4174.391	5507	0	160
2025.11.14	08:15:00	4174.374	4184.351	4173.488	4176.984	5021	0	160
2025.11.14	08:30:00	4177.005	4186.950	4176.031	4182.868	4977	0	160
2025.11.14	08:45:00	4182.821	4183.850	4169.837	4176.063	6030	0	160
2025.11.14	09:00:00	4175.987	4180.436	4168.101	4174.606	5967	0	160
